Date,Time,Fear_Greed_Index,BTC_Price,BTC_Funding_Rate,BTC_Open_Interest,ETH_Price,ETH_Funding_Rate,ETH_Open_Interest,SOL_Price,SOL_Funding_Rate,SOL_Open_Interest
2025-09-21,16:31:05,49,115301,,,4470.67,,,236.97,,
2025-09-21,16:41:08,49,115415,,,4478.22,,,237.27,,
2025-09-21,16:48:06,49,115444,API Blocked,,4475.66,API Blocked,,237.55,API Blocked,
2025-09-21,16:55:19,49,115412,,,4472.46,,,237.43,,
2025-09-21,17:00:27,49,115459,Check Exchange,,4473.94,Check Exchange,,237.5,Check Exchange,
2025-09-21,22:18:10,45,114424,Check Exchange,,4305.61,Check Exchange,,232.2,Check Exchange,
2025-09-22,03:49:07,45,112739,Check Exchange,,4203.82,Check Exchange,,222.11,Check Exchange,
2025-09-22,11:42:42,45,112876,Check Exchange,,4174.18,Check Exchange,,220.89,Check Exchange,
2025-09-22,22:08:58,43,111727,Check Exchange,,4133.45,Check Exchange,,213.24,Check Exchange,
2025-09-23,03:46:39,43,113121,Check Exchange,,4213.35,Check Exchange,,220.14,Check Exchange,
2025-09-23,11:42:54,43,112628,Check Exchange,,4171.44,Check Exchange,,218.73,Check Exchange,
2025-09-23,22:09:25,44,112203,Check Exchange,,4168.12,Check Exchange,,214.22,Check Exchange,
2025-09-24,03:48:50,44,112527,Check Exchange,,4175.25,Check Exchange,,210.55,Check Exchange,
2025-09-24,11:45:29,44,113703,Check Exchange,,4175.83,Check Exchange,,214.2,Check Exchange,
2025-09-24,22:12:00,44,112777,Check Exchange,,4095.55,Check Exchange,,209.38,Check Exchange,
2025-09-25,03:48:03,44,111784,Check Exchange,N/A,4011.15,Check Exchange,N/A,204.49,Check Exchange,N/A
